Protein IDs,Protein names,n_variants_present,f_present,mean_WD,max_WD,mean_z,median_log2FC,mean_MiST,mean_specificity,ctrl_detect_ratio_overall,n_high_lines,n_mid_lines,bait_specific_penalty,any_high,any_mid,S,prey_uniprot,struct_status,struct_iptm,struct_ptm,struct_rank,fraction_disordered,has_clash,S_struct,iface_contact_pairs,iface_res_A,iface_res_B,iface_min_ca_dist,iface_mean_ca_dist,iface_mean_plddt,iface_area,iface_hbonds,iface_salt_bridges,iface_hydroph_contacts,score_struct,priority_rank,score_struct_cal,priority_rank_cal
A0A494C039,Hypoxia up-regulated protein 1 ,7,1.0,-0.0441299378173813,0.6867152378255287,3.931753932527037,5.946818484862664,2.653461800407664,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.7288145871123038,,,,,,,,0.7288145871123038,,,,,,,,,,,0.364407,11,0.364407,11
A0A7I2YQC0,Nucleophosmin ,7,1.0,0.0465419831231633,0.651410111751756,3.72750934644181,5.422489133109153,2.5725434152392275,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.7276437345226393,,,,,,,,0.7276437345226393,,,,,,,,,,,0.363822,12,0.363822,12
K7EL50,Calreticulin ,7,1.0,0.0332080881829727,0.7713214857121902,2778846.195315157,4.428652492282655,1.4203704550662766,0.673469387755102,0.1428571428571428,6,6,0.3265306122448979,True,True,0.7225118408402087,,,,,,,,0.7225118408402087,,,,,,,,,,,0.361256,13,0.361256,13
A0A7P0TAE9,Calnexin ,7,1.0,0.4672588224168276,1.9354137096356607,2.7034160797175004,4.154460440035098,1.9546746098295789,0.9285714285714286,0.0,2,7,0.0714285714285714,True,True,0.7215188154794023,,,,,,,,0.7215188154794023,,,,,,,,,,,0.360759,14,0.360759,14
P55072,Transitional endoplasmic reticulum ATPase ,7,1.0,0.2734171259151433,1.5852146489661514,2439922.0446606283,3.544355010260201,1.331337871262407,0.673469387755102,0.1428571428571428,6,6,0.3265306122448979,True,True,0.7179475261425584,P55072,partial,,,,,,0.7179475261425584,,,,,,,,,,,0.358974,15,0.358974,15
B2RDD7,Protein arginine N-methyltransferase 5 ,7,1.0,-0.2489093680140411,0.1618307807215291,4.075188888266123,6.114336323497369,2.7167240926809515,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.7142368027272122,,,,,,,,0.7142368027272122,,,,,,,,,,,0.357118,16,0.357118,16
A0A384N6B9,Epididymis secretory sperm binding protein ,7,1.0,0.4749628292274472,1.849257576595204,2.30489474766052,3.418126919911132,1.7058840108479565,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.7010524092524688,,,,,,,,0.7010524092524688,,,,,,,,,,,0.350526,17,0.350526,17
A0A7I2V428,Nucleolin ,7,1.0,-0.5831887861462223,0.1434497300938127,5.060186750476315,7.322850732788446,2.7857142857142856,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.6985166531714386,,,,,,,,0.6985166531714386,,,,,,,,,,,0.349258,18,0.349258,18
A0A024R8W0,RNA helicase ,7,1.0,0.7754293703170241,1.9091461547447848,1.561187403916571,2.210837574758404,1.2511846783071552,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6927535754125379,,,,,,,,0.6927535754125379,,,,,,,,,,,0.346377,19,0.346377,19
B2ZZ89,Spectrin beta chain ,7,1.0,0.5189731569657748,2.238692776138905,1.9872611726635476,2.7815541676801416,1.5169082700801522,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6883690578247337,,,,,,,,0.6883690578247337,,,,,,,,,,,0.344185,20,0.344185,20
Q8TCD0,Uncharacterized protein ,7,1.0,0.6467176248353182,2.0987516599206137,1.6189997889631074,2.2950360731889106,1.291962810247457,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6834217263102808,,,,,,,,0.6834217263102808,,,,,,,,,,,0.341711,21,0.341711,21
B2RBM7,26S proteasome non-ATPase regulatory subunit 13 ,7,1.0,0.7006844207987175,2.7284649868853146,1.4006503688229257,2.2064003810290096,1.157838397532725,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.680467046173879,,,,,,,,0.680467046173879,,,,,,,,,,,0.340234,22,0.340234,22
O75592,E3 ubiquitin-protein ligase MYCBP2 ,7,1.0,0.6531049640727754,2.59226370463488,1.533649350130114,2.2457042430967427,1.2345816405292285,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.680424890769112,,,,,,,,0.680424890769112,,,,,,,,,,,0.340212,23,0.340212,23
E9PD53,Structural maintenance of chromosomes protein ,7,1.0,0.5856839455378539,1.912641493017588,1564414.444665443,2.4843384884519075,0.879333654420381,0.6836734693877551,0.1428571428571428,5,6,0.3163265306122448,True,True,0.6789476047387158,,,,,,,,0.6789476047387158,,,,,,,,,,,0.339474,24,0.339474,24
E7EQG2,RNA helicase ,7,1.0,1.0170450521114358,2.933452645270933,1161280.1121052597,1.8066738782931324,0.0,0.8775510204081634,0.1428571428571428,6,7,0.1224489795918366,True,True,0.6783975521595107,,,,,,,,0.6783975521595107,,,,,,,,,,,0.339199,25,0.339199,25
A0A7I2V508,BCL2-associated athanogene 6 ,7,1.0,0.3625932160016777,2.418559433769899,1.9980073387533728,2.822589422880021,1.5168762124257864,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6737116587556508,,,,,,,,0.6737116587556508,,,,,,,,,,,0.336856,26,0.336856,26
Q9HBB9,HC56 ,7,1.0,0.409390047426533,2.1114689784063443,1.806146148393106,2.635338326480081,1.4036452551939316,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6701436554737238,,,,,,,,0.6701436554737238,,,,,,,,,,,0.335072,27,0.335072,27
Q8N1C8,75 kDa glucose-regulated protein (Fragment) ,7,1.0,-0.1095954400780645,1.113792405802044,2.8601317005429223,4.109357473419653,2.043279457221697,0.9285714285714286,0.0,3,7,0.0714285714285714,True,True,0.6701431741840784,,,,,,,,0.6701431741840784,,,,,,,,,,,0.335072,28,0.335072,28
Q53GX7,Threonyl-tRNA synthetase (Fragment) ,7,1.0,0.8973614194666819,2.222595232735616,0.7978159911175028,1.2087564925337304,0.7891914249346106,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6690104243689402,,,,,,,,0.6690104243689402,,,,,,,,,,,0.334505,29,0.334505,29
P50990,T-complex protein 1 subunit theta ,7,1.0,0.5694590426735561,2.1839306066553887,12.769725160107395,5.530173425816258,1.6836734693877553,0.5612244897959183,0.2857142857142857,5,5,0.4387755102040816,True,True,0.6673875200495704,,,,,,,,0.6673875200495704,,,,,,,,,,,0.333694,30,0.333694,30
B2R6S9,"cDNA, FLJ93097, highly similar to Homo sapiens low density lipoprotein receptor-related protein associated protein 1 (LRPAP1), mRNA ",7,1.0,0.1526540120886507,0.4027743582951031,1737011.6106665786,2.8997248399941142,0.9954508939829771,0.7551020408163265,0.1428571428571428,4,5,0.2448979591836734,True,True,0.6652285236142885,,,,,,,,0.6652285236142885,,,,,,,,,,,0.332614,31,0.332614,31
P04908,Histone H2A type 1-B/E ,7,1.0,0.1277273423350486,1.4298846372479286,2.251685371077073,3.223136572296593,1.6746892486725184,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.663794381627642,,,,,,,,0.663794381627642,,,,,,,,,,,0.331897,32,0.331897,32
A0A024RBE7,"Thymopoietin, isoform CRA_c ",7,1.0,0.1625207944662297,0.9818603480159838,2461957.868161786,3.58805811905631,0.1916856329822364,0.7857142857142857,0.1428571428571428,4,7,0.2142857142857142,True,True,0.6637256939052041,,,,,,,,0.6637256939052041,,,,,,,,,,,0.331863,33,0.331863,33
O43143,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ,7,1.0,0.4830767280576515,1.350373495280195,1.512276154818469,2.165283041776725,1.2232358352809332,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6625523823466148,,,,,,,,0.6625523823466148,,,,,,,,,,,0.331276,34,0.331276,34
P08670,Vimentin ,7,1.0,-0.1873534706428782,1.9429515869208227,2.760527552336993,3.980265715460071,1.987407407076551,0.9285714285714286,0.0,2,7,0.0714285714285714,True,True,0.6582609767429514,,,,,,,,0.6582609767429514,,,,,,,,,,,0.32913,35,0.32913,35
A0A804CF45,Insulin receptor substrate 4 ,7,1.0,-0.2614252678813273,0.3959320745711205,2304213.529329872,3.3606763443419894,1.289922743909606,0.673469387755102,0.1428571428571428,6,6,0.3265306122448979,True,True,0.6567220090815551,,,,,,,,0.6567220090815551,,,,,,,,,,,0.328361,36,0.328361,36
Q0QEN7,ATP synthase subunit beta (Fragment) ,7,1.0,0.3866705277047867,2.603990066286605,788750.281980004,1.0461291034800873,1.21818974114399,0.8367346938775511,0.1428571428571428,4,6,0.1632653061224489,True,True,0.6541762326761704,,,,,,,,0.6541762326761704,,,,,,,,,,,0.327088,37,0.327088,37
A0A024R9U8,HECT-type E3 ubiquitin transferase ,7,1.0,-0.18728971801994,0.3159355575460369,2.5839432420792634,4.01526622819943,1.872729876587656,0.9285714285714286,0.0,2,7,0.0714285714285714,True,True,0.6524635778393453,,,,,,,,0.6524635778393453,,,,,,,,,,,0.326232,38,0.326232,38
A8K781,"cDNA FLJ75299, highly similar to Xenopus laevis proteasome (prosome, macropain) 26S subunit, ATPase 3, mRNA ",7,1.0,-0.011735144720768,1.3114328086079574,2151081.186351186,3.339418191052321,0.9499444559424356,0.6428571428571429,0.1428571428571428,4,5,0.3571428571428571,True,True,0.6516556231361776,,,,,,,,0.6516556231361776,,,,,,,,,,,0.325828,39,0.325828,39
C9JX88,26S proteasome AAA-ATPase subunit RPT1 ,7,1.0,0.2709025059954366,1.6064224369742983,1.6486246424604207,2.418663403656975,1.307874638309866,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6493231323095433,,,,,,,,0.6493231323095433,,,,,,,,,,,0.324662,40,0.324662,40
A0A6I8PR89,DnaJ homolog subfamily C member 7 ,7,1.0,0.4571133834001767,2.0175722102327978,1.2602554721554686,1.777664929295856,1.0681636230195088,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6475836739035861,,,,,,,,0.6475836739035861,,,,,,,,,,,0.323792,41,0.323792,41
A0A7P0TA71,Protein disulfide-isomerase ,7,1.0,0.4045031791347912,2.0366684191576674,1.34233080952748,1.9251220211411384,1.1263223776483549,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6472029746422614,,,,,,,,0.6472029746422614,,,,,,,,,,,0.323601,42,0.323601,42
Q7Z351,Uncharacterized protein DKFZp686N02209 ,7,1.0,0.8405476048509841,2.00644638427207,0.4147328983544481,0.6482915698562302,0.560309488583717,0.9285714285714286,0.0,0,3,0.0714285714285714,False,True,0.645256059014885,,,,,,,,0.645256059014885,,,,,,,,,,,0.322628,43,0.322628,43
A0A7I2V351,Importin subunit alpha ,7,1.0,0.4499588367988714,2.13186174329884,1.1712723169195771,1.8670029338837573,1.0177444532725857,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6451263473295202,,,,,,,,0.6451263473295202,,,,,,,,,,,0.322563,44,0.322563,44
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ,7,1.0,0.7350512789829712,2.5777300230697127,0.6618107383953195,0.7592047495226808,0.7088580668148798,0.9285714285714286,0.0,0,5,0.0714285714285714,False,True,0.6442510722185788,,,,,,,,0.6442510722185788,,,,,,,,,,,0.322126,45,0.322126,45
P55209,Nucleosome assembly protein 1-like 1 ,7,1.0,0.0705387351461862,1.3958198635854953,1.9090568605606328,2.899749503600728,1.4657786923791791,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6435949278853778,,,,,,,,0.6435949278853778,,,,,,,,,,,0.321797,46,0.321797,46
V9HWB4,78 kDa glucose-regulated protein ,7,1.0,0.1925116143923706,2.3948223488093454,977587.1078102232,1.4106010881515765,1.5898038118761828,0.673469387755102,0.1428571428571428,5,6,0.3265306122448979,True,True,0.6428762360749806,,,,,,,,0.6428762360749806,,,,,,,,,,,0.321438,47,0.321438,47
H7BZR8,SEC14 domain and spectrin repeat-containing protein 1 (Fragment) ,7,1.0,0.0272116002485853,0.878125362015151,1.983027507038691,2.8347741832240416,1.5057771071121322,0.9285714285714286,0.0,1,7,0.0714285714285714,True,True,0.6408780292962091,,,,,,,,0.6408780292962091,,,,,,,,,,,0.320439,48,0.320439,48
A0A024R333,"Transmembrane protein 113, isoform CRA_a ",7,1.0,0.2876272984796499,2.2130769468409834,1.4279771488823552,2.310069378912086,1.160046738559766,0.9183673469387756,0.0,0,7,0.0816326530612244,False,True,0.640324829469543,,,,,,,,0.640324829469543,,,,,,,,,,,0.320162,49,0.320162,49
Q8N3C0,Activating signal cointegrator 1 complex subunit 3 ,7,1.0,0.6197850577349928,2.499385763166135,1141232.5192814874,2.115090179795555,0.2442837588710324,0.7653061224489797,0.1428571428571428,4,6,0.2346938775510203,True,True,0.6391847285847622,,,,,,,,0.6391847285847622,,,,,,,,,,,0.319592,50,0.319592,50
A0A3B3IT15,Coatomer subunit alpha ,7,1.0,0.0191120356291288,2.231839775448656,1.913202891416804,2.833571267937529,1.4673173064731988,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6380127186643236,,,,,,,,0.6380127186643236,,,,,,,,,,,0.319006,51,0.319006,51
Q59EA2,Coronin (Fragment) ,7,1.0,-0.1556270880639569,0.7300598975210438,2.2398732528278638,3.3001315032960576,1.6686699089484238,0.9285714285714286,0.0,1,7,0.0714285714285714,True,True,0.6369427676612313,,,,,,,,0.6369427676612313,,,,,,,,,,,0.318471,52,0.318471,52
Q8TCG1,Protein CIP2A ,7,1.0,0.3859371331335167,1.1050393310787128,1471432.3391049425,2.3118791377636434,0.2005664309803634,0.7959183673469388,0.1428571428571428,5,6,0.2040816326530612,True,True,0.6340702530063248,,,,,,,,0.6340702530063248,,,,,,,,,,,0.317035,53,0.317035,53
B4DNM8,Procollagen-proline 3-dioxygenase ,7,1.0,0.4322287260717365,2.3188320473605977,4.015360972689925,5.749611678875034,1.0823849629033622,0.6122448979591837,0.2857142857142857,4,6,0.3877551020408162,True,True,0.6315954980533844,,,,,,,,0.6315954980533844,,,,,,,,,,,0.315798,54,0.315798,54
Q5T7C4,High mobility group protein B1 ,7,1.0,0.4824979716589968,1.5489747590023422,1.0732990834105476,1.2146824949354205,0.909734094187402,0.8877551020408163,0.0,0,7,0.1122448979591836,False,True,0.6295285734143679,,,,,,,,0.6295285734143679,,,,,,,,,,,0.314764,55,0.314764,55
P01009,Alpha-1-antitrypsin ,7,1.0,-0.1186361023015698,1.4476000219190293,2.037391652138336,2.81296674166979,1.5460743756203423,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6287417613890042,,,,,,,,0.6287417613890042,,,,,,,,,,,0.314371,56,0.314371,56
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 ,7,1.0,0.3523367641339437,2.5160475966977898,1.0904822541316113,1.4376529847150792,0.9649641230605958,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6283075712676062,,,,,,,,0.6283075712676062,,,,,,,,,,,0.314154,57,0.314154,57
E7EUU4,Eukaryotic translation initiation factor 4 gamma 1 ,7,1.0,0.4945402037267492,1.3086943031442486,0.7016506601590742,1.2846948777661176,0.7334003244327965,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6279386930374833,,,,,,,,0.6279386930374833,,,,,,,,,,,0.313969,58,0.313969,58
Q10567,AP-1 complex subunit beta-1 ,7,1.0,0.4500891676103183,1.8914737659422565,1442011.3163385915,2.02055526676164,0.0438800898307753,0.7959183673469388,0.1428571428571428,4,7,0.2040816326530612,True,True,0.6275550713057835,,,,,,,,0.6275550713057835,,,,,,,,,,,0.313778,59,0.313778,59
Q16643,Drebrin ,7,1.0,-0.0178900945273599,0.9285714285714252,1.7526416101148272,2.6210848920414804,1.377072496549695,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6273278156569182,,,,,,,,0.6273278156569182,,,,,,,,,,,0.313664,60,0.313664,60
Q5QNW6,Histone H2B type 2-F ,7,1.0,-0.4876206568082889,0.0,2.55175515631887,4.37190114782679,1.8572843242589443,0.9285714285714286,0.0,3,7,0.0714285714285714,True,True,0.6264334511228443,,,,,,,,0.6264334511228443,,,,,,,,,,,0.313217,61,0.313217,61
H0Y938,Coatomer subunit beta ,7,1.0,0.3056784507237978,2.3388852819187016,1.0753785665546882,1.6477304454335382,0.9586526260040468,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6256942489213835,,,,,,,,0.6256942489213835,,,,,,,,,,,0.312847,62,0.312847,62
P19105,Myosin regulatory light chain 12A ,7,1.0,-0.0067851170132067,1.990729692116228,1.7743495649032874,2.274760953531988,1.3870880996937935,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.625263844199427,,,,,,,,0.625263844199427,,,,,,,,,,,0.312632,63,0.312632,63
V9HWB9,L-lactate dehydrogenase ,7,1.0,0.0870658359578386,1.0131822081695967,1.4725076590371085,2.3094402090853663,1.2009671937645314,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6246668121200585,,,,,,,,0.6246668121200585,,,,,,,,,,,0.312333,64,0.312333,64
P08243,Asparagine synthetase [glutamine-hydrolyzing] ,7,1.0,0.5634054041417444,3.056271018708157,2.662173541411253,3.938131388168138,0.7042361383234402,0.7448979591836735,0.2857142857142857,3,6,0.2551020408163265,True,True,0.6241704048556617,P08243,empty,,,,,,0.6241704048556617,,,,,,,,,,,0.312085,65,0.312085,65
P28066,Proteasome subunit alpha type-5 ,7,1.0,0.0582589161282268,1.0349672222354644,1.4527889854532303,2.351595429395651,1.1874629362047924,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6216070295684942,,,,,,,,0.6216070295684942,,,,,,,,,,,0.310804,66,0.310804,66
A0A087WXE3,L-methionine (R)-S-oxide reductase ,7,1.0,-0.151374847689928,0.4542745055858081,1.9235421406396165,2.813521511083678,1.4684816061842805,0.9285714285714286,0.0,1,7,0.0714285714285714,True,True,0.6214101893271046,,,,,,,,0.6214101893271046,,,,,,,,,,,0.310705,67,0.310705,67
Q6IBA2,Activated RNA polymerase II transcriptional coactivator p15 ,7,1.0,0.5197653080342114,2.409000892012534,0.5311312197035559,0.9292549172858102,0.6286507855778404,0.9285714285714286,0.0,0,4,0.0714285714285714,False,True,0.6209609522685712,,,,,,,,0.6209609522685712,,,,,,,,,,,0.31048,68,0.31048,68
A0A024R1W3,Peptidylprolyl isomerase ,7,1.0,0.0552089057738324,2.319551380344413,1.3830538221897717,2.285406118127611,1.1530020348363528,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6187547526090794,,,,,,,,0.6187547526090794,,,,,,,,,,,0.309377,69,0.309377,69
P00738,Haptoglobin ,7,1.0,-0.0889156026412128,2.0788471452430604,1.686661107254492,2.521242739426622,1.335876296159262,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6171959405921608,,,,,,,,0.6171959405921608,,,,,,,,,,,0.308598,70,0.308598,70
A0A7P0T9T8,RNA helicase ,7,1.0,-0.2311281208513635,0.1736003955775127,1727875.610988784,2.7058706707362354,0.9674188054151428,0.7040816326530612,0.1428571428571428,6,6,0.2959183673469387,True,True,0.6167602704630752,,,,,,,,0.6167602704630752,,,,,,,,,,,0.30838,71,0.30838,71
Q5STK2,"Prefoldin subunit 6, isoform CRA_b ",7,1.0,0.1930868865931874,1.312121192173345,1.1587109942134073,1.5813680983042708,1.0038876350546095,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6165603884976332,,,,,,,,0.6165603884976332,,,,,,,,,,,0.30828,72,0.30828,72
Q5JW30,Double-stranded RNA-binding protein Staufen homolog 1 ,7,1.0,0.3895677382238057,1.6189402405561628,1084541.3186562762,1.5999854218974685,0.4034984877499999,0.7551020408163265,0.1428571428571428,5,6,0.2448979591836734,True,True,0.6163058631251978,,,,,,,,0.6163058631251978,,,,,,,,,,,0.308153,73,0.308153,73
A0A7P0Z497,Peptidyl-prolyl cis-trans isomerase ,7,1.0,0.2514432421993658,2.2906364198062503,0.9700262200631864,1.3981650454585228,0.8991885740847104,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6146102769988853,,,,,,,,0.6146102769988853,,,,,,,,,,,0.307305,74,0.307305,74
P48047,"ATP synthase subunit O, mitochondrial ",7,1.0,0.5734734220031893,3.0091248658749605,0.2756619777632215,0.5700279457992252,0.4728641059815812,0.9285714285714286,0.0,0,2,0.0714285714285714,False,True,0.6139435608801289,,,,,,,,0.6139435608801289,,,,,,,,,,,0.306972,75,0.306972,75
P60709,"Actin, cytoplasmic 1 ",7,1.0,-0.364776483175157,0.312201055561269,2.1307558788560965,3.2059985886662545,1.6042356229956365,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6122908433692391,,,,,,,,0.6122908433692391,,,,,,,,,,,0.306145,76,0.306145,76
A8K9U0,"cDNA FLJ78260, highly similar to Homo sapiens RNA binding motif protein 4, mRNA ",7,1.0,-0.0655558742499857,1.6150156495381884,1806570.7475950983,2.503787226356529,0.2031474676844065,0.8367346938775511,0.1428571428571428,4,7,0.1632653061224489,True,True,0.6120913025014586,,,,,,,,0.6120913025014586,,,,,,,,,,,0.306046,77,0.306046,77
A0A024R7P2,Peptidylprolyl isomerase ,7,1.0,0.3258637082232868,1.3129374136718637,0.6975496674835874,1.2422395932968655,0.7332053675904048,0.9285714285714286,0.0,0,5,0.0714285714285714,False,True,0.6111999289134442,,,,,,,,0.6111999289134442,,,,,,,,,,,0.3056,78,0.3056,78
Q9BSD7,Cancer-related nucleoside-triphosphatase ,7,1.0,0.0947948884730558,0.7538321669959586,1094334.788323237,1.7142331939403306,0.549614820356703,0.8469387755102041,0.1428571428571428,4,7,0.1530612244897959,True,True,0.6108316061537086,,,,,,,,0.6108316061537086,,,,,,,,,,,0.305416,79,0.305416,79
A0A2R8YEM3,Ribosomal protein L15 (Fragment) ,7,1.0,-0.1083493526056794,0.8177432342964942,1.6056231497036502,2.315500276463318,1.285044186564394,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6104002232495042,,,,,,,,0.6104002232495042,,,,,,,,,,,0.3052,80,0.3052,80
Q6P6D7,Phosphoglycerate mutase ,7,1.0,0.584555111890863,2.45468607099288,0.13162917225552,0.5074382199789831,0.3939740153877892,0.9285714285714286,0.0,0,1,0.0714285714285714,False,True,0.6101008854473009,,,,,,,,0.6101008854473009,,,,,,,,,,,0.30505,81,0.30505,81
Q86UY0,TXNDC5 protein ,7,1.0,0.5434741840747549,2.108116924433842,5.173801461095655,2.763156077970038,0.8967829367422695,0.663265306122449,0.2857142857142857,3,5,0.3367346938775509,True,True,0.6081470130816365,,,,,,,,0.6081470130816365,,,,,,,,,,,0.304074,82,0.304074,82
A0A7I2V5M7,Ras GTPase-activating protein-binding protein 1 ,7,1.0,0.2763646867137038,2.2469412489469818,0.7402035945244354,1.2446111716883124,0.7550925531421033,0.9285714285714286,0.0,0,6,0.0714285714285714,False,True,0.6076268403750114,,,,,,,,0.6076268403750114,,,,,,,,,,,0.303813,83,0.303813,83
A0A384N6C2,Inosine-5-monophosphate dehydrogenase ,7,1.0,0.0883367258568314,1.5895873307741626,1.1070179912518612,1.746070067262913,0.9814259001727642,0.9285714285714286,0.0,0,7,0.0714285714285714,False,True,0.6069899164053806,,,,,,,,0.6069899164053806,,,,,,,,,,,0.303495,84,0.303495,84
